iter	Passed	Remaining
854	12345	2093
855	12359	2079
856	12374	2064
857	12389	2050
858	12403	2035
859	12417	2021
860	12432	2007
861	12446	1992
862	12461	1978
863	12474	1963
864	12488	1949
865	12503	1934
866	12517	1920
867	12531	1905
868	12544	1891
869	12559	1876
870	12572	1862
871	12585	1847
872	12600	1833
873	12613	1818
874	12627	1803
875	12641	1789
876	12655	1774
877	12669	1760
878	12683	1745
879	12696	1731
880	12710	1716
881	12723	1702
882	12738	1687
883	12752	1673
884	12765	1658
885	12780	1644
886	12793	1629
887	12808	1615
888	12821	1600
889	12836	1586
890	12849	1571
891	12863	1557
892	12879	1543
893	12893	1528
894	12907	1514
895	12921	1499
896	12934	1485
897	12948	1470
898	12963	1456
899	12976	1441
900	12991	1427
901	13006	1413
902	13020	1398
903	13033	1384
904	13047	1369
905	13061	1355
906	13074	1340
907	13088	1326
908	13102	1311
909	13117	1297
910	13131	1282
911	13145	1268
912	13159	1253
913	13174	1239
914	13188	1225
915	13201	1210
916	13215	1196
917	13230	1181
918	13243	1167
919	13257	1152
920	13271	1138
921	13285	1123
922	13299	1109
923	13312	1094
924	13327	1080
925	13340	1066
926	13354	1051
927	13368	1037
928	13381	1022
929	13395	1008
930	13409	993
931	13423	979
932	13437	964
933	13452	950
934	13467	936
935	13482	921
936	13495	907
937	13510	893
938	13524	878
939	13538	864
940	13551	849
941	13566	835
942	13579	820
943	13593	806
944	13608	792
945	13621	777
946	13635	763
947	13649	748
948	13663	734
949	13676	719
950	13689	705
951	13703	690
952	13717	676
953	13732	662
954	13745	647
955	13759	633
956	13773	618
957	13786	604
958	13801	590
959	13815	575
960	13829	561
961	13844	546
962	13858	532
963	13871	518
964	13885	503
965	13899	489
966	13913	474
967	13927	460
968	13941	446
969	13955	431
970	13970	417
971	13983	402
972	13998	388
973	14012	374
974	14026	359
975	14040	345
976	14053	330
977	14067	316
978	14081	302
979	14097	287
980	14111	273
981	14127	258
982	14140	244
983	14154	230
984	14167	215
985	14181	201
986	14195	186
987	14209	172
988	14223	158
989	14236	143
990	14252	129
991	14266	115
992	14281	100
993	14295	86
994	14309	71
995	14322	57
996	14336	43
997	14349	28
998	14363	14
999	14377	0
